name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,release_year,mood,Year
EDM Sux,EDM Sux,FTampa,http://open.spotify.com/track/6AlzF33SOFB8vfrmABo0jV,2018-11-09,49,155625,0.653,0.00775,0.907,0.82,0.342,0.238,-5.877000000000002,0.11,128.079,2018,energetic,2018
Eagle,Eagle,Ansatz Der Maschine,http://open.spotify.com/track/7uI4m3uAKy2WWH1mJZAYzO,2019-12-13,28,226400,0.339,0.937,0.142,0.91,0.0847,0.121,-21.613000000000003,0.0416,109.98,2019,calm,2019
Easily,A Song For Every Moon,Bruno Major,http://open.spotify.com/track/2k9N4caeCIJLOWwWwssrEM,2017-08-31,76,210240,0.772,0.491,0.256,0.00612,0.144,0.357,-8.545,0.0481,118.902,2017,sad,2017
Eden - Hunted Version,Hunted,Anna Calvi,http://open.spotify.com/track/5zfsg3FNA03fCUZzW2a9Fr,2020-03-06,35,257815,0.158,0.965,0.0963,0.105,0.0752,0.0395,-18.225,0.0398,71.012,2020,calm,2020
Eidolon,Eidolon,Monocle Twins,http://open.spotify.com/track/6KuzTwyczjBp1C4f60Y5ID,2020-01-24,54,257668,0.5529999999999999,0.862,0.24,0.946,0.0932,0.1639999999999999,-19.522,0.0304,128.986,2020,calm,2020
Empty Street at Night,Empty Street at Night,Golden Sleep,http://open.spotify.com/track/6CY6TBcuh13KEk34pMnZA8,2020-06-05,32,307000,0.211,0.903,0.0147,0.935,0.342,0.0667,-22.964,0.0456,169.899,2020,calm,2020
Enemy,Seasons - Clean,Sevendust,http://open.spotify.com/track/3eqyYjMYUHGlmtCP4C4iSX,2003-10-07,43,183400,0.5720000000000001,0.000181,0.99,0.000295,0.118,0.397,-1.992,0.066,106.912,2003,angry,2003
Escaping Time,Floating,Benjamin Martins,http://open.spotify.com/track/7JrSIPcfkWhDzxWII8Jz7V,2019-10-21,60,200346,0.32,0.64,0.256,0.862,0.112,0.191,-17.98,0.0445,115.011,2019,calm,2019
Event Horizon,Event Horizon,Airwaves,http://open.spotify.com/track/7lSHfDPdyGdRyG234h5ToK,2018-10-30,57,310666,0.464,0.0665,0.38,0.898,0.114,0.0558,-8.052,0.0279,100.006,2018,sad,2018
Every Way,Every Way,Antonio Giacca,http://open.spotify.com/track/4xxyCh7xkK30LVBO81poif,2018-07-20,49,166211,0.879,0.019,0.908,2.62e-06,0.309,0.759,-4.422,0.126,123.036,2018,energetic,2018
Expedition,Expedition,Skytech,http://open.spotify.com/track/2MlnLVsrTJmHmdpzJQcQ6w,2019-09-20,51,150947,0.639,0.00288,0.974,0.596,0.349,0.353,-4.13,0.057,130.0,2019,energetic,2019
Faces,Scary Kids Scaring Kids,Scary Kids Scaring Kids,http://open.spotify.com/track/2G7cxwbFSMneFgTMdnvICw,2007-09-25,43,205706,0.368,3.44e-05,0.967,3.44e-05,0.317,0.537,-3.464,0.0566,194.982,2007,energetic,2007
Falling,Fine Line,Harry Styles,http://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87,240133,0.5670000000000001,0.8390000000000001,0.267,1.46e-06,0.089,0.0592,-6.502000000000002,0.0299,110.011,2019,calm,2019
Falling Ashes,Slowdive,Slowdive,http://open.spotify.com/track/6Zr0mt1HdVUwTEdMwqPXsC,2017-05-05,45,480758,0.332,0.954,0.255,0.752,0.0784,0.134,-13.698,0.0309,187.786,2017,calm,2017
Falling Asleep,Falling Asleep,Tiz McNamara,http://open.spotify.com/track/1FunUekKzZ9Mgt3BMYCrfF,2019-10-25,53,202400,0.537,0.899,0.201,0.0016300000000000002,0.077,0.196,-12.948,0.033,134.08700000000002,2019,calm,2019
Falling Away from Me,Issues,Korn,http://open.spotify.com/track/2F6FfZ4w8z3eJpSxPotVO5,1999-11-09,70,270920,0.468,0.00014,0.769,0.00124,0.271,0.17,-7.0360000000000005,0.041,104.102,1999,angry,1999
Fantasy - R3HAB Remix,Fantasy (R3HAB Remix),Sofie Tukker,http://open.spotify.com/track/3iGMErA58MMTYT1mBkUkRf,2019-04-19,19,188346,0.7,0.113,0.7509999999999999,0.00129,0.241,0.246,-3.853,0.0566,124.027,2019,energetic,2019
Fascination,This Is Alphabeat,Alphabeat,http://open.spotify.com/track/4uqNn56KFQ7NtJ35xWZKvf,2007-12-10,0,181666,0.491,0.000285,0.831,7.879999999999999e-05,0.0761,0.828,-5.3210000000000015,0.0349,193.968,2007,energetic,2007
Feeling This,blink-182,blink-182,http://open.spotify.com/track/26AYR77170U49cMcXB7aRV,2003-11-01,66,172645,0.411,0.103,0.962,0.0,0.529,0.622,-5.952000000000001,0.0917,173.143,2003,energetic,2003
Feels Like Flying,Feels Like Flying,Elementaries,http://open.spotify.com/track/3mMd2MGvEIDAfMfvcb9wsC,2020-06-15,40,198077,0.416,0.882,0.11,0.873,0.116,0.347,-13.776,0.0423,120.024,2020,calm,2020
Fields After Rain,Fields After Rain,Martèn LeGrand,http://open.spotify.com/track/3OjwAIOhan5AIGS2p6fJrt,2020-06-05,37,176000,0.474,0.973,0.161,0.907,0.113,0.357,-20.952,0.043,82.89200000000002,2020,calm,2020
Fields Of Blossom,Fields Of Blossom,Martèn LeGrand,http://open.spotify.com/track/0BEkkhhqcCNx6VLMtshOiT,2020-04-24,32,197800,0.42,0.98,0.135,0.941,0.0974,0.155,-20.518,0.0815,118.9,2020,calm,2020
Fire in Cairo,A Sentimental Education,Luna,http://open.spotify.com/track/71Znjl8mUrHfSg38OQU8bb,2017-09-22,31,209052,0.5870000000000001,0.379,0.713,0.439,0.332,0.816,-8.857999999999997,0.0268,130.05,2017,energetic,2017
Fix You,Fix You,Valentin,http://open.spotify.com/track/0x4CFzoSdqVq5qTGgwZFuX,2019-11-22,47,240000,0.5,0.6709999999999999,0.185,0.0,0.0827,0.159,-13.209,0.0302,140.148,2019,calm,2019
Fleur février,Fleur février,Jacco Wynia,http://open.spotify.com/track/16A82OAjqWawjDM8K5HCdm,2020-02-07,34,253904,0.428,0.985,0.0517,0.945,0.11,0.13,-21.74,0.0548,111.311,2020,calm,2020
Flex,Flex,Fedde Le Grand,http://open.spotify.com/track/43p1IlKF0PBgwkqzS2EdCk,2018-05-14,42,155546,0.609,0.017,0.912,0.0335,0.44,0.5329999999999999,-3.823,0.0486,128.0,2018,energetic,2018
Floating Sunbeams,Floating Sunbeams,Michael Orvind,http://open.spotify.com/track/7hJZMJqFRlypzSlxC7Kn8n,2020-07-07,33,159292,0.205,0.98,0.202,0.85,0.128,0.086,-15.952,0.0427,113.057,2020,calm,2020
Flowing,Flowing,Lucas Delphy,http://open.spotify.com/track/06G5MnuMA3cLbNwjFs8zIS,2020-05-20,39,131116,0.2,0.8959999999999999,0.138,0.929,0.207,0.138,-20.417,0.0301,71.631,2020,calm,2020
Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,Group Therapy 300 Live from Hong Kong (ABGT300),Above & Beyond,http://open.spotify.com/track/0TEW7oRDKD2mjJQH507ni4,2018-10-05,47,364743,0.532,0.000312,0.664,0.0427,0.303,0.075,-9.804,0.0603,128.97299999999998,2018,angry,2018
Focus,Focus,Light of Sun,http://open.spotify.com/track/3DZ7DFolE5U2xEGIzFjeGo,2019-06-03,51,190526,0.273,0.238,0.161,0.481,0.133,0.0503,-17.727,0.053,113.89,2019,sad,2019
Follow me,Follow me,Andre Ehmann,http://open.spotify.com/track/7d44sL4znFm5HZ6ltUVqbI,2019-07-19,51,204624,0.475,0.995,0.109,0.948,0.127,0.405,-29.839,0.0303,99.008,2019,calm,2019
Found,Found,Martin Gauffin,http://open.spotify.com/track/2T2EemW8X3GlKvJe1gxpBC,2019-08-23,52,159049,0.517,0.901,0.397,0.867,0.11,0.195,-14.281,0.0289,100.005,2019,calm,2019
Free,TOGETHER,Third Party,http://open.spotify.com/track/6s2T9kuNYNZKsG5Fa1LiDN,2019-03-15,50,228971,0.481,0.0238,0.922,0.00185,0.0971,0.246,-4.17,0.064,127.931,2019,energetic,2019
Freya,Cantec De Leagane / Freya,Dave Pad,http://open.spotify.com/track/0aaTrekfgJgLiH00lnPKm7,2017-03-24,46,284878,0.64,0.000211,0.667,0.899,0.0748,0.288,-10.19,0.0379,122.994,2017,angry,2017
Friday I'm In Love,Wish,The Cure,http://open.spotify.com/track/4QlzkaRHtU8gAdwqjWmO8n,1992-01-01,76,215160,0.526,0.00126,0.763,6.75e-05,0.359,0.514,-12.663,0.0341,136.205,1992,energetic,1992
From Yesterday,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,http://open.spotify.com/track/4ogyT8HqLV6IdCepscSkh3,2007-05-15,0,245933,0.467,0.00578,0.8759999999999999,0.00592,0.0453,0.131,-4.841,0.0693,135.055,2007,energetic,2007
Frozen,Frozen,Ron Adelaar,http://open.spotify.com/track/4nTeeVQnNghbWWo6k7oPrH,2020-06-05,45,166000,0.352,0.986,0.0246,0.928,0.107,0.174,-27.226,0.0419,78.809,2020,calm,2020
Fête sous les étoiles,Suite,Biba Dupont,http://open.spotify.com/track/55ux9bDGw3qTVfad3PxSTq,2020-05-01,34,184000,0.312,0.994,0.00811,0.961,0.1,0.0703,-30.381,0.0389,115.486,2020,calm,2020
Gasoline,Disclaimer II,Seether,http://open.spotify.com/track/4e7yuouxvWPbK1q2kVlgz8,2004-01-01,39,168560,0.478,4.650000000000001e-05,0.942,0.0336,0.061,0.726,-2.71,0.08,173.515,2004,energetic,2004
Getting Away With Murder,Getting Away With Murder (Explicit Version),Papa Roach,http://open.spotify.com/track/3YQopTaSSgLSSuzYBZ9bLf,2004-01-01,0,191239,0.544,0.000115,0.97,3.34e-05,0.238,0.349,-3.78,0.0532,103.909,2004,angry,2004
Ghostride,Ghostride,Crumb,http://open.spotify.com/track/6mnYXjuK0CDzqem4eR5JGU,2019-05-09,0,126120,0.664,0.511,0.352,0.8059999999999999,0.109,0.45,-9.426,0.0278,87.054,2019,calm,2019
Glaciers,Bloom,Lights & Motion,http://open.spotify.com/track/2No1A7ZuMaBGxz45jmA9Gw,2018-02-02,53,176373,0.0789,0.733,0.16,0.7859999999999999,0.0943,0.0409,-18.144,0.0362,56.449,2018,calm,2018
Go With The Flow,Songs For The Deaf,Queens of the Stone Age,http://open.spotify.com/track/45DElIx0dXqUH4A88yQFdE,2002,59,187120,0.242,0.0148,0.992,0.113,0.833,0.374,-3.9,0.0988,159.37,2002,energetic,2002
Gone My Way - KhoMha Remix,Gone My Way (KhoMha Remix),Morgan Page,http://open.spotify.com/track/08Hghm2hJpCxJux9YuhCG0,2019-05-10,46,168750,0.547,0.00129,0.895,0.107,0.288,0.0353,-7.081,0.0683,128.02200000000002,2019,energetic,2019
Goshen,East Harlem,Beirut,http://open.spotify.com/track/5rLZGAZOstOC3fqhmGChvK,2011-06-14,0,200146,0.284,0.848,0.262,0.00483,0.0966,0.107,-9.869,0.028,98.66,2011,calm,2011
"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",Bach,Johann Sebastian Bach,http://open.spotify.com/track/7ANhXB1OJBaTb7kDoAJRLq,2019-09-27,31,159866,0.5660000000000001,0.995,0.00792,0.909,0.0874,0.0621,-34.484,0.0445,61.167,2019,calm,2019
Goya,Goya,Minxz,http://open.spotify.com/track/2bo6ZMPnFkWCd0VRTMwbcs,2019-07-12,21,235813,0.365,0.994,0.00656,0.888,0.119,0.0809,-21.678,0.0427,68.17,2019,calm,2019
Gracewood (Revisited),In Between (A-Side),Steven Vrancken,http://open.spotify.com/track/1TSpCeUusXyZ7FiaDuy3x1,2020-05-01,11,139050,0.353,0.969,0.0544,0.915,0.106,0.158,-22.657,0.0408,74.883,2020,calm,2020
Green Street,Green Street,Alexander Motovilov,http://open.spotify.com/track/4kjbflfFCcNWkBGWvYBSxz,2020-07-31,27,133125,0.373,0.978,0.191,0.944,0.0737,0.411,-24.099,0.0302,96.682,2020,calm,2020
Groove Is in the Heart,Rhino Hi-Five: Deee-Lite,Deee-Lite,http://open.spotify.com/track/2UVLuddklEVak5PXgC7baA,2005-04-19,65,231786,0.6940000000000001,0.0153,0.8809999999999999,0.0196,0.0851,0.924,-4.053,0.0701,121.554,2005,energetic,2005
Groovin,Groovin,Sir Roy,http://open.spotify.com/track/3ktUAf5M4HiCt6n7Zb323H,2018-02-10,50,267152,0.845,0.0447,0.7440000000000001,0.343,0.13,0.6940000000000001,-9.539,0.0567,126.0,2018,energetic,2018
Guernica,Deja Entendu,Brand New,http://open.spotify.com/track/7lUjs7bf1fjKI8HKhbNp6z,2003-06-17,44,203173,0.382,0.127,0.907,5.65e-06,0.0915,0.346,-6.382999999999999,0.295,183.35,2003,energetic,2003
